ID,Vec
1,['如果说']
2,"['由于', '原因', '导致', '这起事故']"
3,"['则', '导致', '死亡']"
4,"['在', '吊装', '现场']"
5,"['中心', '三方立体交叉作业']"
6,"['却没能', '建立', '一个', '协调机制']"
7,"['17日早', '晨']"
8,"['电建公司', '在', '决定']"
9,"['由于', '相互', '没有', '通气']"
10,['作业']
11,"['以致', '在', '发生', '事故']"
12,"['全部', '死亡']"
13,"['施工单位', '管理混乱']"
14,"['安全措施', '差']"
15,"['施工人员', '安全意识淡薄']"
16,"['污水管道', '使用', '年限较长']"
17,"['渗漏', '形成', '土层含水率', '过大']"
18,"['土层承载力', '下降']"
19,"['北侧', '顶进', '位置', '设置', '不合理']"
20,"['单位', '未向', '施工单位', '提供', '勘察', '报告']"
21,"['施工单位', '未向', '施工现场', '提供', '、', '专项施工方案']"
22,"['无专业', '技术人员']"
23,"['导致', '盲目', '施工']"
24,"['顶进管道时', '未采取', '安全措施']"
25,"['工作坑', '未设置', '上下', '安全通道']"
26,"['施工单位', '未对', '现场工人', '进行', '和', '安全教育']"
27,"['人员', '安全意识淡薄']"
28,['自我保护意识差']
29,"['主体责任', '不落实']"
30,['违规出借资质']
31,"['、', '转包']"
32,"['组织', '工程施工']"
33,"['无相应', '市政工程施工资质']"
34,"['不具备', '安全生产', '条件']"
35,"['仍', '出借', '资质证书', '允许', '承包', '项目']"
36,"['未履行', '安全生产管理职责']"
37,"['施工现场', '派驻', '和', '技术人员', '实施', '有效', '管理']"
38,"['蔺志强', '借用', '、', '非法组织施工']"
39,"['不具备', '安全生产', '条件', '情况下']"
40,"['将', '承包', '新增']"
41,"['王', '新增', '无资质承揽', '科技学院幼儿园管道工程段顶管工程', '王炎周']"
42,"['科技学院幼儿园管道工程段顶管工程', '后']"
43,"['组织', '施工']"
44,"['违章指挥', '冒险', '作业']"
45,"['责任', '不落实']"
46,['执法不严']
47,"['整改', '不到位']"
48,"['分支管网', '敷设', '不到位']"
49,"['建工处', '未发现', '查处', '分包', '行为']"
50,"['未及时', '组织', '查处', '行为']"
51,"['必须', '管', '安全', '职责']"
52,"['安全监管', '不到位']"
53,"['潍坊市住建局', '作为', '全市', '建设行政主管部门']"
54,['监管不力']
55,"['指导', '开展', '建设工程施工安全监管', '不到位']"
56,"['潍坊市市政局', '贯彻', '管', '行业', '必须', '管', '安全意识']"
57,"['指导', '开展', '热力', '企业']"
58,"['责任', '不落实']"
59,"['政府', '贯彻', '法律法规', '不到位']"
60,"['施工', '监管不力']"
61,"['主体责任', '不落实']"
62,"['主体责任', '不落实']"
63,['违规出借资质']
64,"['组织', '工程施工']"
65,"['主体责任', '不落实']"
66,"['无相应', '建筑施工资质']"
67,"['不具备', '安全生产', '条件']"
68,"['仍', '出借', '资质证书', '允许', '中学', '项目']"
69,"['未履行', '安全生产管理职责']"
70,"['任命', '为']"
71,"['施工现场', '派驻', '和', '技术人员', '实施', '有效', '管理']"
72,"['段雪梅', '非法挂靠']"
73,['非法转包']
74,['非法组织施工']
75,"['在', '无建筑施工资质']"
76,"['不具备', '情况下']"
77,['非法挂靠']
78,['将']
79,"['给史', '发生']"
80,"['安排', '分别', '担任', '和', '施工员']"
81,['非法组织施工']
82,['张专元']
83,"['代表', '负责', '施工', '管理']"
84,"['具体', '负责']"
85,"['搭设', '不规范']"
86,"['人员', '告知', '存在', '安全隐患', '情况下']"
87,"['违规违章', '安排', '进行', '冒险', '作业']"
88,"['史', '发生', '盗用', '资质']"
89,"['和', '转包']"
