set,target
{'部署'- '安排'- '布置'}, '安排'
{'安全措施'- '保护措施'},    '保护措施'
{'装有'- '安上'- '安装'},    '安装'
{'配备'- '选配'},    '选配'
{'审核'- '审定'- '把关'},    '审核'
{'颁发'- '下发'- '签发'},    '颁发'
{'管理处'- '办事处'},    '管理处'
{'辅助'- '协助'- '帮助'},   '帮助'
{'保护措施'- '有效措施'- '措施'},    '措施'
{ '保证'- '保障'},    保证
{ '报告'- '告知'},    '报告'
{ '报告'- '上报'},    '报告'
{'爆炸'- '爆裂'},    '爆炸'
{'本身'- '自我'- '自己'},    '自己'
{'应有'- '应该'},    '应该'
{'变更'- '调整'- '变动'},    '变更'
{'变更'- '改变'- '更换'},    '变更'
{'变更'- '更改'- '修改'},    '变更'
{'变动'- '变化'},    '变化'
{'辨识'- '判断'- '识别'},     '识别'
{'代表'- '标明'- '标志'},    '代表'
{'标准'- '条件'- '指标'},    '标准'
{'说明'- '表明'- '表达'},    '说明'
{'表明'- '反映'- '体现'},    '说明'
{'危险性'- '不安全'- '危害性'},    '危险性'
{'不合理'- '错误'- '不当'},    '错误'
{'违规行为'- '违法从事'},    '违规行为'
{'不够'- '缺乏'- '不足'},    '不够'
{'欠缺'- '缺陷'},    '欠缺'
{'缺失'- '有缺陷'},  '欠缺'
{'不顾'- '无视'- '放任'},    '不顾'
{'不完善'- '不健全'},    '不完善'
{'不力'- '不当'},    '不当'
{'劣质'- '恶劣'- '不良'},    '恶劣'
{'不了解'- '不明'},    '不明'
{'一无所知'- '不清楚'},   '不清楚'
{'不善'- '恶劣'- '疏于'},    '恶劣'
{'不闻不问'- '置若罔闻'- '监督不力'},    '不闻不问'
{'放任自流'- '不严'- '放任'},    '不严'
{'整改不力'- '不整改'},    '整改不力'
{'不足'- '欠缺'- '缺少'},   '不足'
{'不足'- '缺失'- '缺陷'},    '不足'
{'不作'- '没作'},    '不作'
{'部门'- '机构'- '组织'},    '部门'
{'材质'- '材料'},    '材料'
{'使用'- '采用'- '利用'},    '使用'
{'操作'- '操纵'},    '操作'
{'测量'- '实测'- '观测'},    '测量'
{'测量'- '勘察'- '勘查'},    '测量'
{'测试'- '验证'- '证明'},    '测试'
{'处分'- '整改'- '查处'},    '处分'
{'追究'- '严肃处理'- '查处'- '处理'},    '追究'
{'察看'- '查看'- '审查'},    '查看'
{'检验'- '查看'- '审查'},    '查看'
{'调查'- '调研'- '查验'},    '调查'
{'核实'- '查证'- '审查'},    '核实'
{'拆卸'- '拆迁'- '拆除'},    '拆除'
{'产生'- '突发'- '出现异常'},    '产生'
{'超越'- '超出'- '过量'},    '超越'
{'超越'- '超过'- '过量'},    '超越'
{'偏离'- '撤离'- '离开'},    '偏离'
{'承包'- '承揽'- '承接'},    '承包'
{'担任'- '负责'- '承担'},    '承担'
{'担负'- '支撑'- '承载'},    '担负'
{'工序'- '程序'- '先后'},    '先后'
{'抽查'-  '抽测'},    '抽查'
{'出借'- '借给'- '借用'},  '借给'
{'事发'- '出事'},    '事发'
{'开除'- '惩处'- '处罚'},  '惩处'
{'处分'- '惩处'- '处理'},  '惩处'
{'处于'- '位于'- '陷入'},    '处于'
{'送交'- '提交'- '传递'},    '送交'
{'此起事故'- '本起事故'- '这起事故'},    '这起事故'
{'次要'- '辅助'},    '次要'
{'装有'- '存有'- '有着'},    '有着'
{'装有'- '存在'- '有着'},    '有着'
{'方法'- '办法'- '措施'},    '方法'
{'方式'- '手段'- '措施'},    '方式'
{'不正确'- '失误'- '错误'},    '不正确'
{'衔接'- '接头'- '搭接'},    '衔接'
{'联结'- '搭接'},    '衔接'
{'巨大'- '大量'- '过多'},    '巨大'
{'部门'- '单位'},    '部门'
{'淡漠'- '淡薄'- '轻微'},    '淡漠'
{'随即'- '立即'- '当时'},    '立即'
{'致使'- '导致'- '以致'},    '导致'
{'致使'- '导致'- '引起'},    '导致'
{'垮塌'- '倒塌'- '坍塌'},    '垮塌'
{'倾倒'- '倾覆'- '倒塌'},    '垮塌'
{'类别'- '等级'},    '等级'
{'低劣'- '劣质'},    '劣质'
{'升降机'- '电梯'},   '升降机'
{'塔吊'- '吊车'- '起重机'},    '塔吊'
{'监督'- '督促'- '督查'},    '监督'
{'单独'- '独自'},  '单独'
{'脱落'- '断开'- '断裂'},    '断开'
{'断面'- '大断面'},   '断面'
{'衔接'- '连接'- '对接'},  '衔接'
{'多次'- '屡次'- '一再'},   '多次'
{'多人伤亡'- '人员伤亡'},    '人员伤亡'
{'产生'- '发出'- '发生'},    '产生'
{'发生'- '出现'},    '发生'
{'引发'- '发生'},    '产生'
{'法律法规'- '法律'- '法规'},    '法规'
{'计划'- '方案'},    '计划'
{'手段'- '方法'},    '方法'
{'防范'- '避免'- '逃避'},    '防范'
{'防范'- '防止'- '避免'},    '防范'
{'预防措施'- '防范措施'},    '预防措施'
{'临边防护'- '防止'- '防护'},    '防止'
{'放松'- '松懈'- '松弛'},    '放松'
{'非法承建'- '非法承揽'},    '非法承建'
{'各自'- '分别'},    '分别'
{'负有'- '担负'- '负责'},  '负有'
{'应负'- '负有'},    '负有'
{'复查'- '审核'- '核查'},  '审核'
{'复核'- '审核'- '核查'},  '审核'
{'副经理'- '经理'- '副厂长'},    '经理'
{'本起事故'- '该起事故'- '这起事故'},    '本起事故'
{'改变'- '更改'- '变化'},    '改变'
{'更改'- '改为'- '变动'},    '改变'
{'干扰'- '扰乱'},    '干扰'
{'给予'- '提供'- '予以'},    '给予'
{'依据'- '根据'},    '依据'
{'监视'-  '监督'},    '监视'
{'土建'- '工程'- '工程建设'},    '工程'
{'工程'- '项目'- '工程项目'},  '工程'
{'工程进度'- '进度'- '施工进度'},   '进度'
{'建设项目'- '建设工程'- '工程项目'},  '工程'
{'泥工'- '工匠'- '瓦工'},    '工人'
{'工匠'- '工人'- '职工'},    '工人'
{'工人'- '瓦工'},    '工人'
{'工作'- '办事'- '作业'},   '工作'
{'工作'- '管理'- '管理工作'},  '工作'
{'工作'- '上岗'},    '工作'
{'公司'- '企业'},    '公司'
{'故意'- '明知故犯'},
{'聘用'- '雇用'- '雇佣'},    '雇用'
{'主管部门'- '管理局'- '管理机构'},    '管理机构'
{'管理制度'- '规章制度'- '规程'}, '规章制度
{'规定'- '明确规定'- '明文规定'},    '规定'
{'规定'- '制定'- '制订'},    '规定'
{'规范'-  '原则'},    '规范'
{'过多'- '超载'},    '过多'
{'超负荷'- '过于'},    '过于'
{'行为'- '动作'},    '行为'
{'证书'- '合格证'- '上岗证'},    '证书'
{'载重'- '荷载'- '荷重'},    '载重'
{'审核'-  '核查'},    '审核'
{'一点'- '很少'- '不大'},    '一点'
{'严重后果'- '后果'- '结果'},  '后果'
{'被忽视'- '忽视'- '无视'},   '忽视'
{'忽视'- '松懈'- '疏忽'},    '忽视'
{'请示'- '上报'- '汇报'},   '请示'
{'混乱'- '混乱状态'},    '混乱'
{'基本'- '基础'},    '基本'
{'基建'- '基本建设'- '工程项目'},    '基建'
{'立即'- '及早'- '及时'},   '立即'
{'技术'- '技能'- '能力'},    '技术'
{'加剧'- '提高'- '加强'},    '提高'
{'加速'- '加快'},    '加速'
{'果断'- '坚决'- '决断'},    '果断'-
{'督导'- '监督'- '指导'},    '监督'
{'控制'- '监管'- '管控'},    '控制'
{'管控不力'- '监管不力'},    '管控不力'
{'保护'- '维护'- '监护'},    '保护'
{'检测'- '验证'- '检验'},    '检测'
{'巡查'- '检查'- '抽测'},    '检查'
{'复查'- '检查'- '审查'},    '检查'
{'检测'- '检查'- '排查'},    '检查'
{'查验'- '检验'- '检查'},    '检查'
{'检修'- '保养'},    '保养'
{'检修'- '维修保养'},    '保养'
{'设立'- '建立'- '设置'},    '建立'
{'工程建设'- '建设工程'- '建设'},    '建立'
{'建筑'- '建筑物'},    '建筑'
{'讲清'- '注明'},    '注明'
{'下降'- '下滑'- '降低'},    '降低'
{'交底'- '安全交底'},    '交底'
{'交付使用'- '交付'},   '交付'
{'提交'- '交给'- '传递'},    '交给'
{'提交'- '交给'- '交由'},    '交给'
{'送交'- '交付'- '交由'},    '交给'
{'浇注'- '浇筑'},    '浇注'
{ '教训'- '经验'},    '经验'
{'接收'- '收取'- '接到'},  '接收'
{'接收'- '接受'- '接过'},  '接收'
{'接近'- '将近'},
{'接收'- '接受'},    '接收'
{'衔接'- '联系'- '接通'},    '联系'
{'构造'- '结构'},    '结构'
{'进度'- '施工进度'},   '进度'
{'不准'- '禁止'- '严禁'},    '禁止'
{'私自'-  '未经许可'},    '私自'
{'经过'- '途经'- '通过'},    '经过'
{'主管'- '负责人'- '经理'},    '主管'
{'业务范围'- '经营范围'},    '业务范围'
{'具备'- '持有'- '具有'},    '具有'
{'装有'- '存有'},    '装有'
{'决策'- '决定'},    '决策'
{'结束'- '竣工'- '完毕'},    '结束'
{'开挖'- '掘进'},    '开挖'
{'勘察'- '实测'- '勘测'},    '勘察'
{'可以'- '能够'- '足以'},    '可以'
{'控制'- '操纵'- '掌握'},   '控制'
{'口头'- '口头上'},    '口头'
{'严重不足'- '匮乏'- '缺少'},  缺少'
{'扩大'- '蔓延'},    '蔓延'
{'知悉'- '熟悉'- '了解'},    '了解'
{'爆炸物'- '炸药'- '雷管'},    '爆炸物'
{'例行'- '常规'},    '常规'
{'衔接'- '联系'- '连接'},    '连接'
{'领导'- '主任'- '经理'},    '领导'
{ '缺陷'- '漏洞'},    '缺陷'
{'到位'- '落实'- '完成'},   '完成'
{'完成'- '落实'},    '完成'
{'再三'- '屡次'- '重复'},    '重复'
{'履行'- '实施'- '执行'},    '执行'
{'麻痹'- '松懈'- '疏忽'},    '松懈'
{'盲目'- '一直'- '一味'},    '一直'
{'相反'- '没有'},    '没有'
{'未形成'- '没有'- '尚未'},   '没有'
{'从业人员'- '民工'- '职工'},    '职工'
{'显然'- '明确'- '明显'},    '明确'
{'模板支撑'- '模板支架'},    '模板支架'
{'纳入'- '投入'},    '纳入'
{'难以'- '难于'- '不便'},    '难于'
{'中间'- '内部'- '中心'},    '中间'
{'力量'- '能够'- '能力'},    '能力'
{'年纪'- '年龄'},    '年龄'
{'审查'- '核查'- '排查'},    '核查'
{'派出'- '指派'- '派驻'},    '派出'
{'派遣'- '指派'- '派驻'},    '派出'
{'佩带'- '配戴'- '佩戴'},    '佩带'
{'倾斜'- '偏斜'},    '倾斜'
{'铺设'- '新建'- '建造'},    '建造'
{'其他'- '另外'- '其它'},    '其他'
{'中部'- '中间'},    '中间'
{'起重'- '起吊'- '提升'},    '提升'
