ID,sentence
1,如果说,
2,由于技术上的原因导致了这起事故的话,
3,那管理上的原因则导致了如此众多人的死亡,
4,在吊装现场,
5,沪东造船厂、电建公司和机器人中心三方立体交叉作业,
6,却没能建立一个协调机制,
7,17日早晨,
8,电建公司在决定放缆风绳时,
9,由于相互没有通气,
10,沪东造船厂的工人仍在刚性腿里作业,
11,以致在发生事故时,
12,23名职工全部死亡,
13,建设、施工单位管理混乱,
14,现场安全措施差,
15,施工人员安全意识淡薄,
16,污水管道使用年限较长,
17,检查井底部渗漏形成土层含水率过大,
18,土层承载力下降,
19,北侧顶进管道位置设置不合理,
20,该工程建设单位未向施工单位提供地质勘察报告,
21,施工单位未向施工现场提供施工图纸、施工组织设计、专项施工方案,
22,施工现场无专业技术人员,
23,导致施工现场工人盲目施工,
24,顶进管道时未采取防坍塌等安全措施,
25,工作坑未设置上下安全通道,
26,施工作业前施工单位未对现场工人进行安全技术交底和安全教育,
27,操作人员安全意识淡薄,
28,自我保护意识差,
29,施工单位安全生产主体责任不落实,
30,违规出借资质,
31,非法分包、转包,
32,违法违规组织工程施工,
33,华能公司明知蔺志强无相应市政工程施工资质,
34,不具备安全生产条件,
35,仍出借资质证书允许蔺志强以本公司的名义承包项目,
36,未履行安全生产管理职责,
37,未向施工现场派驻任何管理人员和技术人员实施有效管理,
38,蔺志强借用华能公司资质、非法转包、非法组织施工,
39,在无施工资质、不具备安全生产条件的情况下,
40,将承包的科技学院幼儿园管道工程段顶管工程非法分包给王新增,
41,王新增无资质承揽科技学院幼儿园管道工程段顶管工程后又非法转包给无资质的王炎周,
42,王炎周无资质承揽科技学院幼儿园管道工程段顶管工程后,
43,在不具备安全生产条件下组织施工,
44,违章指挥工人冒险作业,
45,主管部门监管责任不落实,
46,执法不严,
47,事故隐患排查和整改不到位,
48,寿光市住建局对寿光市金惠热力有限公司分支管网敷设及改造工程施工安全监管不到位,
49,建工处未发现查处施工单位非法转包、分包行为,
50,城管执法大队未及时组织查处辖区内未备案进行热力管道顶管作业的行为,
51,燃热办未认真履行管行业必须管安全职责,
52,对寿光市金惠热力有限公司的安全监管不到位,
53,潍坊市住建局作为全市建设行政主管部门,
54,对建设、施工、监理等建设施工活动监管不力,
55,指导寿光市建设行政主管部门开展建设工程施工安全监管不到位,
56,潍坊市市政局贯彻管行业必须管安全意识不强,
