ID,Vec
1,"['违规', '处置', '现场']"
2,"['挂靠', '疏于', '安全管理']"
3,"['所', '运载', '部门', '证实']"
4,"['没有', '履行', '职责']"
5,"['及时', '纠正', '车主', '使用', '超载', '行为']"
6,"['还', '发现', '押运员', '缺乏', '工作', '资质']"
7,"['没有', '参加']"
8,"['不具备', '押运', '资质']"
9,"['也', '不具备', '危险', '处置', '能力']"
10,"['进厂', '出厂']"
11,"['气密性', '试验', '安全管理制度', '不完善']"
12,['不够']
13,"['及时', '维修', '更换']"
14,['不够']
15,"['安全意识', '不够']"
16,"['没', '补充', '修订']"
17,"['违规', '疲劳', '驾驶']"
18,"['有关', '规定']"
19,"['没', '进行', '知识', '培训']"
20,"['培训', '不到位']"
21,"['违反规定', '混装', '货物']"
22,"['车辆', '没有', '运输', '资质']"
23,"['司机', '没有', '运输', '上岗证']"
24,"['单位', '没有', '按规定', '办理', '经营', '许可证']"
25,"['危险', '化学品']"
26,"['单位', '没有', '经营', '资格', '进行', '审查']"
27,"['没有', '进行', '检查和', '监督']"
28,"['驾驶员', '处理', '紧急情况', '不当']"
29,"['企业', '不重视', '驾驶人员', '安全', '培训']"
30,"['重视', '提高']"
31,"['违反', '运输', '规定']"
32,"['途中', '换人']"
33,"['检查', '制度']"
34,"['严禁', '搭乘', '无关', '人员']"
35,"['同车', '装载']"
36,['不够']
37,"['接班', '车辆', '驶入', '车道', '内后']"
38,"['涉事', '存在', '失察']"
39,"['未能', '督促', '、', '押运员', '正确', '履行', '规定', '处置', '职责']"
40,"['未发现', '消除', '车辆', '安全隐患']"
41,"['涉事', '公司', '存在', '挂靠', '行为']"
42,"['购买', '非']"
43,"['办理', '经营', '手续', '返租']"
44,"['签订', '租赁', '合同']"
45,"['出租', '给', '安全生产', '条件', '个人']"
46,"['从事', '危险', '货物运输']"
47,['属地']
48,"['未发现', '公司', '存在', '问题']"
49,"['班长', '违反', '化工部', '颁发', '有关', '规定']"
50,"['所', '选用', '管径', '不合格']"
51,"['使用', '胶管', '进行', '作业时', '未安装', '接地装置']"
52,"['也', '未给', '铝', '连接', '管']"
53,"['无人', '管理', '无人过问']"
54,"['形成', '习惯性违章']"
55,"['下部', '按规定', '砂', '填实']"
56,"['事故', '发生', '仍然', '没有', '按规定', '整改']"
57,"['事故', '发生', '留下', '隐患']"
58,"['严重', '失职']"
59,['不清楚']
60,['不知道']
61,['不以为然']
62,"['说明', '培训', '不到位']"
63,"['规章制度', '不完善']"
64,"['安全管理体系', '不健全']"
65,"['运送', '危险物品', '不了解']"
66,"['发生', '如何', '正确处理']"
67,"['宣传教育', '不到位']"
68,"['有关', '规定']"
69,"['使用', '来历不明']"
70,"['资料', '不全']"
71,"['无', '证明书']"
72,"['培训', '不到位']"
