ID,Vec
1,"['违规', '处置', '现场']"
2,"['挂靠', '疏于', '安全管理']"
3,"['所', '运载', '部门', '证实']"
4,"['没有', '履行', '职责']"
5,"['及时', '纠正', '车主', '使用', '超载', '行为']"
6,"['还', '发现', '押运员', '缺乏', '工作', '资质']"
7,"['没有', '参加']"
8,"['不具备', '押运', '资质']"
9,"['也', '不具备', '危险', '处置', '能力']"
10,"['进厂', '出厂']"
11,"['气密性', '试验', '安全管理制度', '不完善']"
12,['不够']
13,"['及时', '维修', '更换']"
14,"['安全意识', '不够']"
15,"['没', '补充', '修订']"
16,"['违规', '疲劳', '驾驶']"
17,"['有关', '规定']"
18,"['没', '进行', '知识', '培训']"
19,"['培训', '不到位']"
20,"['违反规定', '混装', '货物']"
21,"['车辆', '没有', '运输', '资质']"
22,"['司机', '没有', '运输', '上岗证']"
23,"['单位', '没有', '按规定', '办理', '经营', '许可证']"
24,"['危险', '化学品']"
25,"['单位', '没有', '经营', '资格', '进行', '审查']"
26,"['没有', '进行', '检查和', '监督']"
27,"['驾驶员', '处理', '紧急情况', '不当']"
28,"['企业', '不重视', '驾驶人员', '安全', '培训']"
29,"['重视', '提高']"
30,"['违反', '运输', '规定']"
31,"['途中', '换人']"
32,"['检查', '制度']"
33,"['严禁', '搭乘', '无关', '人员']"
34,"['同车', '装载']"
35,"['接班', '车辆', '驶入', '车道', '内后']"
36,"['涉事', '存在', '失察']"
37,"['未能', '督促', '、', '押运员', '正确', '履行', '规定', '处置', '职责']"
38,"['未发现', '消除', '车辆', '安全隐患']"
39,"['涉事', '公司', '存在', '挂靠', '行为']"
40,"['购买', '非']"
41,"['办理', '经营', '手续', '返租']"
42,"['签订', '租赁', '合同']"
43,"['出租', '给', '安全生产', '条件', '个人']"
44,"['从事', '危险', '货物运输']"
45,['属地']
46,"['未发现', '公司', '存在', '问题']"
47,"['班长', '违反', '化工部', '颁发', '有关', '规定']"
48,"['所', '选用', '管径', '不合格']"
49,"['使用', '胶管', '进行', '作业时', '未安装', '接地装置']"
50,"['也', '未给', '铝', '连接', '管']"
51,"['无人', '管理', '无人过问']"
52,"['形成', '习惯性违章']"
53,"['下部', '按规定', '砂', '填实']"
54,"['事故', '发生', '仍然', '没有', '按规定', '整改']"
55,"['事故', '发生', '留下', '隐患']"
56,"['严重', '失职']"
57,['不清楚']
58,['不知道']
59,['不以为然']
60,"['说明', '培训', '不到位']"
61,"['规章制度', '不完善']"
62,"['安全管理体系', '不健全']"
63,"['运送', '危险物品', '不了解']"
64,"['发生', '如何', '正确处理']"
65,"['宣传教育', '不到位']"
66,"['使用', '来历不明']"
67,"['资料', '不全']"
68,"['无', '证明书']"
69,"['无视', '无照', '开车']"
70,"['应急', '措施']"
71,"['上', '存在', '和', '问题']"
