round1,round2,round3,round4,round5
0,0,0,0,0
1,1,1,1,1
2,2,3,27,28
3,3,6,28,31
4,5,10,31,37
5,6,23,35,41
6,8,26,37,42
7,10,27,41,50
8,11,28,42,51
9,13,31,49,52
10,15,34,50,59
11,16,35,51,69
12,22,37,52,80
13,23,40,53,81
14,25,41,58,91
15,26,42,59,92
16,27,48,68,93
17,28,49,69,95
18,31,50,79,96
19,33,51,80,101
20,34,52,81,102
21,35,53,85,106
22,37,54,90,107
23,39,57,91,108
24,40,58,92,109
25,41,59,93,110
26,42,64,94,120
27,43,67,95,121
28,45,68,96,180
29,47,69,101,184
30,48,72,102,188
31,49,78,105,189
32,50,79,106,196
33,51,80,107,197
34,52,81,108,198
35,53,84,109,199
36,54,85,110,204
37,55,89,119,205
38,57,90,120,206
39,58,91,121,207
40,59,92,134,208
41,61,93,163,213
42,63,94,178,214
43,64,95,180,284
44,66,96,183,289
45,67,97,184,294
46,68,100,187,299
47,69,101,188,300
48,70,102,189,303
49,72,104,195,308
50,75,105,196,310
51,77,106,197,311
52,78,107,198,316
53,79,108,199,317
54,80,109,200,318
55,81,110,203,320
56,83,114,204,321
57,84,117,205,347
58,85,118,206,369
59,87,119,207,401
60,89,120,208,402
61,90,121,213,404
62,91,124,214,405
63,92,132,244,418
64,93,133,250,419
65,94,134,283,465
66,95,139,284,474
67,96,145,285,476
68,97,146,287,477
69,99,156,289,478
70,100,162,290,482
71,101,163,294,483
72,102,170,298,494
73,104,171,299,495
74,105,177,300,498
75,106,178,303,500
76,107,179,307,508
77,108,180,308,509
78,109,183,310,510
79,110,184,311,515
80,114,186,312,525
81,116,187,316,526
82,117,188,317,527
83,118,189,318,528
84,119,194,319,529
85,120,195,320,533
86,121,196,321,540
87,123,197,346,563
88,124,198,347,565
89,126,199,352,566
90,128,200,359,577
91,130,201,361,582
92,131,202,368,617
93,132,203,369,631
94,133,204,372,632
95,134,205,373,633
96,135,206,401,637
97,136,207,402,644
98,138,208,403,645
99,139,212,404,652
100,142,213,405,653
101,144,214,415,659
102,145,218,417,676
103,146,228,418,686
104,149,231,419,687
105,152,243,433,694
106,154,244,450,696
107,156,249,451,699
108,158,250,453,700
109,161,262,464,701
110,162,267,465,702
111,163,274,467,703
112,165,283,468,704
113,167,284,470,705
114,169,285,474,707
115,170,287,475,708
116,171,288,476,742
117,173,289,477,761
118,176,290,478,784
119,177,293,481,786
120,178,294,482,788
121,179,297,483,790
122,180,298,493,795
123,182,299,494,796
124,183,300,495,797
125,184,303,497,798
126,185,306,498,799
127,186,307,499,803
128,187,308,500,808
129,188,310,506,818
130,189,311,508,836
131,194,312,509,837
132,195,313,510,838
133,196,316,514,839
134,197,317,515,840
135,198,318,519,841
136,199,319,524,844
137,200,320,525,906
138,201,321,526,912
139,202,328,527,913
140,203,345,528,914
141,204,346,529,915
142,205,347,532,924
143,206,351,533,925
144,207,352,538,926
145,208,358,540,943
146,211,359,542,944
147,212,361,562,945
148,213,366,563,947
149,214,367,565,948
150,217,368,566,966
151,218,369,568,976
152,227,372,571,1014
153,228,373,577,1018
154,230,376,581,1019
155,231,381,582,1023
156,235,397,593,1028
157,240,399,603,1029
158,242,400,613,1049
159,243,401,617,1050
160,244,402,629,1051
161,247,403,630,1071
162,249,404,631,1073
163,250,405,632,1098
164,253,414,633,1101
165,255,415,634,1104
166,258,417,636,1106
167,260,418,637,1107
168,262,419,643,1109
169,266,426,644,1110
170,267,429,645,1123
171,271,432,651,1127
172,274,433,652,1128
173,275,441,653,1136
174,277,449,658,1137
175,280,450,659,1141
176,282,451,675,1153
177,283,452,676,1155
178,284,453,685,1156
179,285,455,686,1157
180,287,458,687,1158
181,288,463,693,1161
182,289,464,694,1163
183,290,465,695,1178
184,292,467,696,1179
185,293,468,698,1180
186,294,469,699,1202
187,296,470,700,1203
188,297,474,701,1228
189,298,475,702,1238
190,299,476,703,1257
191,300,477,704,1265
192,302,478,705,1274
193,303,481,706,1281
194,305,482,707,1282
195,306,483,708,1283
196,307,486,736,1284
197,308,491,737,1285
198,309,492,741,1289
199,310,493,742,1291
200,311,494,757,1292
201,312,495,761,1293
202,313,496,772,1295
203,315,497,773,1299
204,316,498,781,1301
205,317,499,783,1302
206,318,500,784,1309
207,319,504,785,1322
208,320,505,786,1325
209,321,506,787,1329
210,323,507,788,1331
211,327,508,789,1365
212,328,509,790,1366
213,334,510,794,1397
214,336,511,795,1415
215,345,514,796,1428
216,346,515,797,1441
217,347,518,798,1442
218,349,519,799,1474
219,351,523,802,1480
220,352,524,803,1481
221,355,525,807,1482
222,357,526,808,1493
223,358,527,816,1494
224,359,528,817,1498
225,360,529,818,1502
226,361,531,819,1503
227,362,532,835,1524
228,365,533,836,1534
229,366,537,837,1535
230,367,538,838,1536
231,368,540,839,1543
232,369,541,840,1559
233,372,542,841,1560
234,373,547,842,1561
235,375,552,843,1562
236,376,562,844,1563
237,380,563,846,1564
238,381,565,850,1566
239,386,566,905,1567
240,391,567,906,1568
241,393,568,911,1569
242,396,570,912,1571
243,397,571,913,1572
244,399,577,914,1581
245,400,580,915,1602
246,401,581,918,1611
247,402,582,919,1616
248,403,592,924,1648
249,404,593,925,1691
250,405,602,926,1692
251,407,603,927,1694
252,413,609,933,1695
253,414,612,943,1725
254,415,613,944,1728
255,416,617,945,1729
256,417,620,946,1736
257,418,629,947,1749
258,419,630,948,1761
259,422,631,953,1767
260,425,632,955,1781
261,426,633,965,1786
262,428,634,966,1791
263,429,635,975,1793
264,431,636,976,1794
265,432,637,979,1795
266,433,642,998,1798
267,435,643,1013,1800
268,440,644,1014,1801
269,441,645,1018,1811
270,445,650,1019,1812
271,448,651,1023,1835
272,449,652,1028,1840
273,450,653,1029,1842
274,451,657,1036,1876
275,452,658,1044,1877
276,453,659,1049,1889
